step,tag,value
9772,Debug/YOLO_Max_Class_ID,1.0
9822,Debug/YOLO_Max_Class_ID,1.0
9872,Debug/YOLO_Max_Class_ID,1.0
9922,Debug/YOLO_Max_Class_ID,1.0
9972,Debug/YOLO_Max_Class_ID,1.0
10022,Debug/YOLO_Max_Class_ID,1.0
10072,Debug/YOLO_Max_Class_ID,1.0
10122,Debug/YOLO_Max_Class_ID,1.0
10172,Debug/YOLO_Max_Class_ID,1.0
10222,Debug/YOLO_Max_Class_ID,1.0
10272,Debug/YOLO_Max_Class_ID,1.0
10322,Debug/YOLO_Max_Class_ID,1.0
10372,Debug/YOLO_Max_Class_ID,1.0
10422,Debug/YOLO_Max_Class_ID,1.0
10472,Debug/YOLO_Max_Class_ID,1.0
10522,Debug/YOLO_Max_Class_ID,1.0
10572,Debug/YOLO_Max_Class_ID,1.0
10622,Debug/YOLO_Max_Class_ID,1.0
10672,Debug/YOLO_Max_Class_ID,1.0
10722,Debug/YOLO_Max_Class_ID,1.0
10772,Debug/YOLO_Max_Class_ID,1.0
10822,Debug/YOLO_Max_Class_ID,1.0
10872,Debug/YOLO_Max_Class_ID,1.0
10922,Debug/YOLO_Max_Class_ID,1.0
10972,Debug/YOLO_Max_Class_ID,1.0
11022,Debug/YOLO_Max_Class_ID,1.0
11072,Debug/YOLO_Max_Class_ID,1.0
11122,Debug/YOLO_Max_Class_ID,1.0
11172,Debug/YOLO_Max_Class_ID,1.0
11222,Debug/YOLO_Max_Class_ID,1.0
11272,Debug/YOLO_Max_Class_ID,1.0
11322,Debug/YOLO_Max_Class_ID,1.0
11372,Debug/YOLO_Max_Class_ID,1.0
11422,Debug/YOLO_Max_Class_ID,1.0
11472,Debug/YOLO_Max_Class_ID,1.0
11522,Debug/YOLO_Max_Class_ID,1.0
11572,Debug/YOLO_Max_Class_ID,1.0
11622,Debug/YOLO_Max_Class_ID,1.0
11672,Debug/YOLO_Max_Class_ID,1.0
11722,Debug/YOLO_Max_Class_ID,1.0
11772,Debug/YOLO_Max_Class_ID,1.0
11822,Debug/YOLO_Max_Class_ID,1.0
